Дата/Время;Сообщение;Цех;alarm_class;log_action
2024-07-16 15:07:55.810;HH_ALARM_TRIGGERED;$MAC_FR;HIGH;G
2024-07-16 15:07:53.987;HH_ALARM_TRIGGERED;$MAC_FR;HIGH;G
2024-07-16 15:07:51.883;HH_ALARM_TRIGGERED;$MAC_FR;HIGH;G
2024-07-16 15:07:48.827;HIGH_ALARM_TRIGGERED;$MAC_FR;MED;G
2024-07-16 15:07:43.677;HIGH_ALARM_TRIGGERED;$MAC_FR;LOW;G
2024-07-16 15:07:40.477;HIGH_ALARM_TRIGGERED;$MAC_FR;LOW;G
2024-07-16 15:07:37.977;HH_ALARM_TRIGGERED;$MAC_FR;HIGH;G
2024-07-16 15:07:35.430;HIGH_ALARM_TRIGGERED;$MAC_FR;MED;G
2024-07-16 15:07:30.087;HIGH_ALARM_TRIGGERED;$MAC_FR;LOW;G
2024-07-16 15:07:26.633;HH_ALARM_TRIGGERED;$MAC_FR;HIGH;G
2024-07-16 15:07:25.820;HIGH_ALARM_TRIGGERED;$MAC_FR;MED;G
2024-07-16 15:07:20.007;HIGH_ALARM_TRIGGERED;$MAC_FR;LOW;G
2024-07-16 15:07:19.077;HH_ALARM_TRIGGERED;$MAC_FR;HIGH;G
2024-07-16 15:07:17.977;HIGH_ALARM_TRIGGERED;$MAC_FR;MED;G
2024-07-16 15:07:11.733;HIGH_ALARM_TRIGGERED;$MAC_FR;LOW;G
2024-07-16 15:07:10.810;HH_ALARM_TRIGGERED;$MAC_FR;HIGH;G
2024-07-16 15:07:09.387;HIGH_ALARM_TRIGGERED;$MAC_FR;MED;G
2024-07-10 16:28:13.433;HIGH_ALARM_TRIGGERED;$MAC_FR;LOW;G
2024-07-10 16:28:12.050;HIGH_ALARM_TRIGGERED;$MAC_FR;MED;G
2024-07-10 16:28:10.703;HH_ALARM_TRIGGERED;$MAC_FR;HIGH;G
2024-07-10 16:14:10.787;HH_ALARM_TRIGGERED;$MAC_FR;HIGH;G
2024-07-10 16:14:08.597;HIGH_ALARM_TRIGGERED;$MAC_FR;MED;G
2024-07-10 16:13:57.467;HIGH_ALARM_TRIGGERED;$MAC_FR;LOW;G
2024-07-10 15:16:17.367;HIGH_ALARM_TRIGGERED;$MAC_FR;MED;G
2024-07-10 15:15:58.533;HH_ALARM_TRIGGERED;$MAC_FR;HIGH;G
2024-07-10 15:14:20.067;HIGH_ALARM_TRIGGERED;$MAC_FR;LOW;G
2024-07-10 15:14:15.753;HIGH_ALARM_TRIGGERED;$MAC_FR;MED;G
2024-07-10 15:11:52.093;HH_ALARM_TRIGGERED;$MAC_FR;HIGH;G
